title,creator,collection,location,lat-long,subject,description,date-digital,date-original,date,format,digitization-specifications,iwrri-number,resource-identifier,rights-management,publisher,contributors,type,contributing-institution,metadata-cataloger,series,reference-url,cdm-number,cdm-file-name,full-resolution
"Characterization of heavy metal contamination in two lateral lakes of the Lower Coeur d'Alene River Valley, Northern Idaho","Hoffman, Mark",Coeur d'Alene Basin,Coeur d'Alene River; Thompson Lake; Medicine Lake,"47.49, -116.72",heavy metals; mine wastes; sediment,"The lower Coeur d'Alene River valley in Northern Idaho has received heavy metal contamination from over a century of upstream mining activity. Medicine and Thompson Lakes are two of the 11 lateral lakes of the Coeur d'Alene River that lie on the flood plain. In their bottom sediments is preserved a stratigraphic record of upstream mining operations. A freeze box, designed by a Quaternary geologist in Finland, was used to sample the lake bottom sediments. This method preserves the vertical stratigraphy. As little as 10 cm and up to 52 cm of undisturbed tailing sediments with """"varve-like"""" features was recovered. Geochemical analyses of these sediments show maximum concentrations of 49 ppm Ag, 427 ppm As, 68 ppm Cd, 341 ppm Cu, 10.9% Fe, 1.8 ppm Hg, 1.1% Mn, 1.8% Pb, 48 ppm Sb and 1.1% Zn. 137Cs was used to establish the depositional chronology of the lake bottom sediments. Fourteen centimeters of sediment were deposited between 1951 and 1964, and 10-12 cm from 1964 to 1992. Particle size distribution and analysis found that the fractions containing the highest Cd, Cu, Pb and Zn concentrations are the least abundant in the samples. The most abundant size fraction has some of the lowest heavy metal concentrations. This study shows that the contamination in the lakes is restricted to the shallow sub-bottom and that heavy metal concentrations drop to background levels within a few meters of depth.",2012,5/1/1995,1995-05,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Hoffman_1995,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/151,151,151.pdf,Volume10/CDA_Hoffman_1995.pdf
Characterization of the upper aquifer beneath Smelterville Flats with implications for mitigation of groundwater contamination,"Kunkel, Douglas",Coeur d'Alene Basin,Coeur d'Alene Basin,"47.52, -116.56",mine wastes; water quality; groundwater pollution,"In the early part of this century, the Smelterville Flats area near Kellogg, Idaho received mining, milling, and metallurgical wastes. Mine wastes were deposited on the flood plain or in the channel of the South Fork of the Coeur d'Alene River. In the early 1900s, a series of dams were built across the South Fork of the Coeur d'Alene River at the western end of Smelterville Flats in an attempt to control the downstream transport of mine wastes. Mine wastes and other sediments were deposited behind this dam. The site, known as Smelterville Flats, is the largest uncontrolled deposit of mining wastes that remains in the South Fork of the Coeur d'Alene River Valley. Water levels and water quality samples were collected from existing monitoring wells within the Smelterville Flats study area. A more intensive study was conducted on a small sub-area of the Smelterville Flats study area known as the Bureau of Land Management (BLM) sub-area. Ten sets of piezometers were installed to monitor water quality and water levels in the upper aquifer beneath Smelterville Flats in the BLM sub-area. A pumping well and observation wells were installed in the BLM sub-area in order to conduct a pumping test in the upper aquifer to determine aquifer coefficients. Ground water level gradients in the study area indicate that the ground water flow direction is from east to west, following the general gradient of the valley of the South Fork of the Coeur d'Alene River. Water levels also indicate that the South Fork of the Coeur d'Alene River is a losing stream in the east end of the study area and a gaining stream in the west end of the study area. Shallower monitoring wells in the upper aquifer within the BLM sub-area consistently had higher concentration of ions associated with mining wastes than deeper monitoring wells installed in the same aquifer at the same location. Oxidation of the mine wastes may occur in the unsaturated zone in the presence of oxygen, or in the presence of oxygen and water if the film of water is thin enough to allow the diffusion of oxygen to the reaction sites. The thin layer of water surrounding the wastes may become a concentrated solution of soluble reaction products. Infiltration of precipitation, and rises in ground water levels flush and transport the soluble reaction products from the reaction sites on the wastes into the shallow ground water system. The oxidation products are removed from the reaction sites, thereby producing fresh reaction sites for the next influx of oxygen. The reaction products may then be transported by the ground water flow system, which ultimately discharges to the South Fork of the Coeur d'Alene River at the western end of Smelterville Flats. Based on the data collected, potential mitigative measures were evaluated and analyzed in order to minimize the adverse long-term effects of mine waste on the ground water and surface water systems. Potential mitigative measures that are evaluated include treatment of the shallow aquifer water, elimination or reduction of ground water flow through the shallow aquifer, removal of the major sources of metal ions, and no action. The continuation of research to identify or develop a mechanism to extract marketable metals from the wastes on Smelterville Flats appears to constitute the most appropriate course of action.",2012,11/1/1993,1993-11,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Kunkel_1993,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/160,160,160.pdf,Volume10/CDA_Kunkel_1993.pdf
"Chemical and detrital features of Palouse River, Idaho, runoff flowage","Buscemi, Philip A.",,,,Runoff; detritus; Palouse River,"Some aspects of runoff flowage in the Palouse River, Latah County, Idaho, are described. Certain chemical features and variations in organic and inorganic content of suspended detritus are emphasized for a 20-mile length of this northern Idaho river as affected by spring runoff. A discussion of changes in seston fractions as functions of rainfall, snow melt, feeder stream inflow, and mill pond effect is presented. Variations in certain chemical factors may be used to pinpoint two major sources of runoff water (ground water or snow melt) in the Palouse River. Sedimentary organic deposits were highly variable along the stream concourse, reflecting pollution by localized lumbering and ranching activities.",,1969,1969,application/pdf,pdf file copied from JSTOR website (http://www.jstor.org). Uploaded into CONTENTdm version 4.3.,,3543751,http://www.jstor.org/page/info/about/policies/terms.jsp,Wiley-Blackwell,,text,University of Idaho,Jodi Haire,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/68,68,http://www.jstor.org/stable/3543751,
"A chemical speciation approach to evaluate water quality problems in the Blackbird Mining area, Idaho. Research technical completion report, 14-08-0001-G1014-07","Wai, C. M.; Mok, W. M.",IWRRI,Blackbird Mine; Panther Creek; Middle Fork Salmon River,"45.25, -114.32",Water quality; leaching; arsenic; speciation,"The Blackbird Mine, located at the edge of the Frank Church Primitive Area in east-central Idaho, is one of the largest potential sources of cobalt in the United States. Minng operations in the past have left many waste piles and dumps in this area. Sediments in the streams surrounding the mining area are also contaminated with arsenic, cobalt, and copper. Two streams drain the Blackbird mining area: Blackbird Creek to the south and BUcktail Creek to the north. Both streams flow into Panther Creek, which is a major tributary of the Middle Fork of the Salmon River. The effects of the contaminated sediments on the water quality of the creeks surrounding the Blackbird area are largely unknown. Experiments were conducted in our laboratory to evaluate the leaching characteristics of arsenic species, As(III) and As(V), and other trace metals from sediments collected from Blackbird Creek and from Panther Creek.",2012,10/1/1986,1986-10,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198611,198611,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/399,399,399.pdf,Volume18/198611.pdf
Chemical speciation of arsenic and antimony in natural water systems and its applications to environmental problems,"Mok, Wai Man",Coeur d'Alene Basin,Coeur d'Alene River,"47.51, -116.15",heavy metals; mine wastes; sediment; speciation,"A method for the speciation of trivalent and pentavalent states of inorganic arsenic (As) and antimony (Sb) in natural waters has been developed. The proposed method first extracts the trivalent As(III) and Sb(III) as pyrrolidinecarbodithioate (PCDT) complexes into chloroform, followed by a nitric acid back-extraction to recover the elements. Arsenic and Sb in the acid solution are determined by neutron activation analysis (NAA). The pentavalent species, As(V) and Sb(V), are reduced to the trivalent state using potassium iodide and sodium thiosulfate and then are extracted with PCDT for NAA. The two-step preconcentration procedure provides a large enrichment factor, eliminates the interfering matrix species, and extends the useful working range of NAA for As and Sb. The extraction method has also been applied to the determination of low levels of As and Sb in biological samples by NAA. The speciation method has been used to evaluate the distribution of As(III) and As(V) and its relation to other water quality parameters in the groundwater system of a major lead-zinc mine in the Coeur d'Alene Mining District of northern Idaho. It is known that mine wastes containing pyrite (FeS2) are capable of producing acid waters under oxidizing conditions, and the redox status of groundwater is an important factor in determining the degree of acid water formation and subsequent leaching of metals from mine tailings and ore bodies in this mining area. The results obtained from this study show that the relative concentrations of the arsenic redox pair are correlated with the quality of the mine waters studied and the ratio of As(V)/As(III) has the potential to be a redox indicator for groundwater systems. The river sediments of the South Fork and the Main Stem of the Coeur d'Alene River are contaminated with As, Sb, and other heavy metals from past mining activities. The distribution of As and Sb species in the river waters has been studied. Trivalent As(III) is the predominant form of arsenic in the South Fork and the Main Stem, whereas the unpolluted North Fork generally has a higher concentration of As(V). The major Sb species in the three branches of the river is Sb(V). Mobilization of sediment As and Sb during sediHent-water interactions has been investigated using laboratory leaching experiments. The releases of As and Sb are related to the free iron oxides and free manganese oxides of the sediments. The effects of the contaminated sediments on the water quality, with respect to As and Sb, of the creeks surrounding the Blackbird area in east-central Idaho have also been investigated. The pentavalent As(V) and Sb(V) are the major species observed in the creek waters. The field observations are consistent with the leaching experiments performed in the laboratory. The contaminated sediments are non-point sources of pollution which should be considered for water quality management planning of the mining areas studied.",2012,5/1/1988,1988-05,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Mok_1988,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/152,152,152.pdf,Volume10/CDA_Mok_1988.pdf
"Source water assessment for the City of Moscow, Idaho. Final Report",Idaho Department of Environmental Quality,Palouse Basin,Moscow,"46.73, -116.99",drinking water; wells; contaminants,"The report describes the public drinking water system, the boundaries of the zones of water contribution, and the associated potential contaminant sources located within these boundaries.",2012,2001,2001,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,2001_IDEQ_City_of_Moscow_ Source_Water,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,Idaho Department of Environmental Quality,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/332,332,332.pdf,Volume17/2001_IDEQ_City_of_Moscow_ Source_Water.pdf
"Total maximum daily load for dissolved cadmium, dissolved lead, and dissolved zinc in surface waters of the Coeur d'Alene River Basin",U.S. Environmental Protection Agency; Idaho Department of Environmental Quality,Coeur d'Alene Basin,Coeur d'Alene Lake; Coeur d'Alene River,"47.51, -116.15",heavy metals; water quality; mine wastes;,"This is an EPA and IDEQ report that lists total maximum daily loads (TMDL) of dissolved cadmium, dissolved lead, and dissolved zinc in the surface waters of the Coeur d'Alene Basin",2012,8/14/2000,2000-08-14,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_EPA_2000,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,U.S. Environmental Protection Agency, Idaho Department of Environmental Quality,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/148,148,148.pdf,Volume10/CDA_EPA_2000.pdf
Coeur d'Alene Lake Management Plan,Coeur d'Alene Tribe; Clean Lakes Coordinating Council; Idaho Division of Environmental Quality,Coeur d'Alene Basin,Coeur d'Alene Lake,"47.54, -116.82",water quality; water pollution prevention; waste management,"This is a water management plan produced jointly by the Coeur d'Alene Tribe, the Clean Lakes Coordinating Council, and the Idaho Deivison of Environmental Quality for the purposes of outlining goals for lake clean up, pollution prevention, and developing water quality criteria.",2012,9/19/1996,1996-09-19,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_CLCC_1996,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/166,166,166.pdf,Volume10/CDA_CLCC_1996.pdf
Coeur d'Alene River and lake Commission: report and recommendations of the Coeur d'Alene River and Lake Commission to the twenty-second session of the State Legislatureo f Idaho,"Babcock, Fred",Coeur d'Alene Basin,Coeur d'Alene River,"47.51, -116.15",mine wastes; heavy metals; water pollution,This is a report by the Coeur d'Alene River and Lake Commission regarding the levels of lead found in river beds of the Coeur d'Alene River system and the potential for mine tailings to have polluted the stream and/or nearby communities' grazing land and/or arable land.  The commission also recommends steps to prevent pollution generated from mine tailings.,2012,1/1/1933,1933-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Babcock_1933,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/149,149,149.pdf,Volume10/CDA_Babcock_1933.pdf
Columbia Plateau Basalt regional aquifer-system study,"Vaccaro, John",Palouse Basin,Columbia Basalt,"46.96, -118.08",geohydrology; geohydrologic boundaries; groundwater flow,The describes the complex ground water flow system in the in the Columbia Plateau basalt in support of efforts to solve the problems of declining ground water levels and the need of additional ground water for expanding irrigated land.,2012,1986,1986,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1986_Vaccaro_et_Columbia_Plateau,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,US Geological Survey Circular 1002,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/308,308,308.pdf,Volume15/1986_Vaccaro_et_Columbia_Plateau.pdf
"Comparison of macroinvertebrate samplers and the relationship of environmental factors to biomass and diversity variability in a small watershed. Research technical completion report, project no. A-049-IDA","Newlon, Thomas A.; Rabe, Fred W.",IWRRI,Horse Creek Drainage,"45.95, -115.33",macroinvertebrates; biomass; species diversity; natural streams,"Variability in macroinvertebrate biomass and diversity between streams in a relatively undisturbed watershed was determined by sampling at 19 stations in first through fourth order streams of the Horse Creek drainage, Idaho. Macroinvertebrate biomass and diversity values varied significantly (P&lt;.05) both between different stream orders, and between streams of the same order. Biomass and diversity variability was correlated with physical and chemical factors by stepwise regression analysis. A large percentage (&gt;85%) of the variance in both biomass and diversity was accounted for by changes in four to five physical and chemical factors, which included substrate size, gradient, suspended sediment water temperature, alkalinity, stream order and width. This indicates that predictive modeling of macroinvertebrate community structure is possible in a small, relatively undisturbed watershed. Basket, multiple-plate and Surber macroinvertebrate samplers were used to determine which sampler is most applicable for use in small relatively undisturbed streams. Comparisons were made on the basis of sample biomass) diversity and taxonomic composition. Basket samples had more biomass and higher diversity than multiple-plate samples throughout the watershed, probably because they provided a better imitation of the natural substrate. Basket sample diversities were similar to Surber sample diversities in first and second order streams, but were much lower in third and fourth order streams. Both basket and multiple-plate samplers were found to be adequate for stream survey work. The inconsistancies found with Surber samplers indicated that they were most applicable only when time and resources were at a minimum, or when sampling was designed only to determine which taxa were present at a given site.",2012,6/1/1977,1977-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197715,197715,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/498,498,498.pdf,Volume21/197715.pdf
Comparison of runoff from a catchment snow pillow and a small forested watershed,"Molnau, Myron",,Crumerine Watershed; Moscow Valley,"46.8, -116.9",snowmelt; runoff volume; lysimeters;,A 12-by- 12-foot square pressure pillow was modified by the addition of drains to collect the snowmelt from the pillow. This meltwater was collected in tanks and monitored by stage recorders. The daily runoff amounts from the catchment pillow was compared with the mean daily runoff from a 1580-acre watershed and one of approximately 80 acres. The runoff from the pillow provided a good measure of the timing of runoff from the two watersheds. A time lag of one day was found for the small watershed and 2 to 3 days for the latter watershed.,2012,4/20/1971,1971-04-20,application/pdf,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197111,197111,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/132,132,132.pdf,Volume8/197111.pdf
"Completion report on well altitude survey in the Moscow sub-basin, Idaho","Trihey, E. Woody",Palouse Basin,Moscow,"46.73, -116.99",groundwater inventory; well data; groundwater level,The report summarizes the well locations and static water level elevations in wells in the Moscow sub-basin.,2012,1973,1973,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1973_Trihey_Completion_Report,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,US Geological Survey,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/299,299,299.pdf,Volume15/1973_Trihey_Completion_Report.pdf
